distance_raw_m,distance_medema_m,distance_gated_m,t_rel_s,dt_s,fps,host_ts
161.7,183.046,160.569,318.145,1.34,0.75,2025-12-09 11:53:13
194.3,180.861,160.569,318.747,0.602,1.66,2025-12-09 11:53:14
194.6,178.945,160.569,320.088,1.341,0.75,2025-12-09 11:53:15
195.6,180.481,160.569,321.373,1.285,0.78,2025-12-09 11:53:17
160.0,181.863,160.582,324.841,3.468,0.78,2025-12-09 11:53:20
159.9,183.106,160.564,325.237,0.396,2.53,2025-12-09 11:53:21
160.0,180.796,160.508,325.633,0.396,2.53,2025-12-09 11:53:21
159.9,178.716,160.457,326.024,0.391,2.56,2025-12-09 11:53:21
159.9,176.835,160.401,326.416,0.392,2.55,2025-12-09 11:53:22
160.9,175.141,160.351,327.757,1.341,0.75,2025-12-09 11:53:23
160.0,173.627,160.316,328.122,0.365,2.74,2025-12-09 11:53:23
160.0,172.264,160.284,328.513,0.391,2.56,2025-12-09 11:53:24
160.0,171.038,160.256,328.904,0.391,2.56,2025-12-09 11:53:24
159.9,169.934,160.23,329.3,0.396,2.53,2025-12-09 11:53:25
160.0,168.941,160.207,329.693,0.393,2.54,2025-12-09 11:53:25
161.0,168.047,160.187,331.034,1.341,0.75,2025-12-09 11:53:26
159.9,167.242,160.168,331.418,0.384,2.6,2025-12-09 11:53:27
160.0,166.518,160.151,331.817,0.399,2.51,2025-12-09 11:53:27
161.0,165.866,160.136,333.158,1.341,0.75,2025-12-09 11:53:28
159.8,165.279,160.122,334.846,1.688,0.59,2025-12-09 11:53:30
159.8,164.741,160.1,335.238,0.392,2.55,2025-12-09 11:53:31
159.7,164.247,160.07,335.634,0.396,2.52,2025-12-09 11:53:31
159.9,163.803,160.043,336.484,0.85,1.18,2025-12-09 11:53:32
159.9,163.402,160.019,336.874,0.39,2.56,2025-12-09 11:53:32
160.0,163.052,160.007,337.266,0.392,2.55,2025-12-09 11:53:33
159.8,162.737,159.996,337.659,0.393,2.54,2025-12-09 11:53:33
160.0,162.453,159.987,338.057,0.398,2.51,2025-12-09 11:53:33
159.9,162.198,159.978,338.448,0.391,2.56,2025-12-09 11:53:34
159.9,161.968,159.97,338.845,0.397,2.52,2025-12-09 11:53:34
159.8,161.761,159.963,339.246,0.401,2.49,2025-12-09 11:53:35
159.9,161.575,159.957,339.64,0.394,2.54,2025-12-09 11:53:35
159.9,161.408,159.951,340.033,0.393,2.54,2025-12-09 11:53:35
159.9,161.257,159.946,340.431,0.398,2.51,2025-12-09 11:53:36
159.8,161.121,159.941,340.825,0.394,2.54,2025-12-09 11:53:36
159.8,160.999,159.937,341.673,0.848,1.18,2025-12-09 11:53:37
159.8,160.879,159.924,342.067,0.394,2.54,2025-12-09 11:53:37
159.8,160.771,159.911,342.456,0.389,2.57,2025-12-09 11:53:38
159.8,160.674,159.9,342.849,0.393,2.54,2025-12-09 11:53:38
159.9,160.587,159.89,343.238,0.389,2.57,2025-12-09 11:53:39
159.9,160.508,159.881,343.625,0.387,2.58,2025-12-09 11:53:39
159.9,160.447,159.883,344.016,0.391,2.56,2025-12-09 11:53:39
159.8,160.392,159.885,344.406,0.39,2.56,2025-12-09 11:53:40
159.9,160.343,159.886,344.803,0.397,2.52,2025-12-09 11:53:40
159.8,160.299,159.888,345.194,0.391,2.56,2025-12-09 11:53:41
159.9,160.259,159.889,345.587,0.393,2.54,2025-12-09 11:53:41
159.9,160.223,159.89,345.98,0.393,2.54,2025-12-09 11:53:41
159.9,160.191,159.891,346.378,0.398,2.51,2025-12-09 11:53:42
159.9,160.162,159.892,347.224,0.846,1.18,2025-12-09 11:53:43
159.9,160.136,159.893,347.611,0.387,2.58,2025-12-09 11:53:43
159.9,160.112,159.893,348.004,0.393,2.54,2025-12-09 11:53:43
159.8,160.091,159.894,348.4,0.396,2.53,2025-12-09 11:53:44
159.9,160.072,159.895,348.789,0.389,2.57,2025-12-09 11:53:44
159.9,160.055,159.895,349.184,0.395,2.53,2025-12-09 11:53:45
159.8,160.039,159.896,349.573,0.389,2.57,2025-12-09 11:53:45
159.8,160.015,159.886,349.968,0.395,2.53,2025-12-09 11:53:45
159.8,159.994,159.877,350.36,0.392,2.55,2025-12-09 11:53:46
159.9,159.974,159.87,350.756,0.396,2.53,2025-12-09 11:53:46
159.9,159.957,159.863,351.149,0.393,2.54,2025-12-09 11:53:46
160.0,159.951,159.866,351.546,0.397,2.52,2025-12-09 11:53:47
159.8,159.946,159.87,351.94,0.394,2.54,2025-12-09 11:53:47
159.9,159.941,159.873,352.783,0.843,1.19,2025-12-09 11:53:48
159.7,159.937,159.876,353.176,0.393,2.54,2025-12-09 11:53:49
159.8,159.924,159.868,353.568,0.392,2.55,2025-12-09 11:53:49
159.7,159.911,159.861,353.96,0.392,2.55,2025-12-09 11:53:49
159.9,159.9,159.855,354.353,0.393,2.54,2025-12-09 11:53:50
159.8,159.89,159.85,354.743,0.39,2.56,2025-12-09 11:53:50
160.1,159.881,159.845,355.14,0.397,2.52,2025-12-09 11:53:50
159.9,159.883,159.85,355.538,0.398,2.51,2025-12-09 11:53:51
160.9,159.885,159.855,356.935,1.397,0.72,2025-12-09 11:53:52
157.0,159.886,159.86,367.154,10.219,0.72,2025-12-09 11:54:02
158.0,159.888,159.864,368.495,1.341,0.75,2025-12-09 11:54:04
156.6,159.699,159.677,368.871,0.376,2.66,2025-12-09 11:54:04
156.8,159.429,159.41,369.273,0.402,2.49,2025-12-09 11:54:05
157.8,159.186,159.169,370.614,1.341,0.75,2025-12-09 11:54:06
