distance_raw_m,distance_medema_m,distance_gated_m,t_rel_s,dt_s,fps,host_ts
155.4,157.406,157.406,63.62,0.394,2.54,2025-12-09 11:59:26
155.2,156.403,156.403,64.01,0.39,2.56,2025-12-09 11:59:27
155.1,155.802,155.802,64.402,0.392,2.55,2025-12-09 11:59:27
155.0,155.501,155.501,64.793,0.391,2.56,2025-12-09 11:59:27
154.9,155.3,155.3,65.185,0.392,2.55,2025-12-09 11:59:28
154.5,155.15,155.15,65.581,0.396,2.53,2025-12-09 11:59:28
154.2,155.025,155.025,65.975,0.394,2.54,2025-12-09 11:59:29
154.4,154.763,154.763,66.364,0.389,2.57,2025-12-09 11:59:29
154.4,154.581,154.581,66.761,0.397,2.52,2025-12-09 11:59:29
154.4,154.491,154.491,67.154,0.393,2.54,2025-12-09 11:59:30
154.2,154.445,154.445,68.002,0.848,1.18,2025-12-09 11:59:31
154.0,154.423,154.423,68.393,0.391,2.56,2025-12-09 11:59:31
153.7,154.311,154.311,68.781,0.388,2.58,2025-12-09 11:59:31
153.8,154.156,154.156,69.173,0.392,2.55,2025-12-09 11:59:32
153.8,153.978,153.978,69.563,0.39,2.56,2025-12-09 11:59:32
153.8,153.889,153.889,69.952,0.389,2.57,2025-12-09 11:59:33
153.7,153.844,153.844,70.344,0.392,2.55,2025-12-09 11:59:33
153.7,153.822,153.822,70.737,0.393,2.54,2025-12-09 11:59:33
153.6,153.761,153.761,71.127,0.39,2.56,2025-12-09 11:59:34
153.5,153.731,153.731,71.521,0.394,2.54,2025-12-09 11:59:34
153.6,153.665,153.665,71.914,0.393,2.54,2025-12-09 11:59:34
154.3,153.633,153.633,72.304,0.39,2.56,2025-12-09 11:59:35
153.3,153.616,153.616,72.693,0.389,2.57,2025-12-09 11:59:35
153.8,153.608,153.608,73.081,0.388,2.58,2025-12-09 11:59:36
154.7,153.704,153.704,73.476,0.395,2.53,2025-12-09 11:59:36
172.0,154.002,153.704,74.322,0.846,1.18,2025-12-09 11:59:37
172.3,154.351,153.704,74.721,0.399,2.51,2025-12-09 11:59:37
172.8,163.176,153.704,75.118,0.397,2.52,2025-12-09 11:59:38
162.7,167.588,154.002,75.514,0.396,2.53,2025-12-09 11:59:38
162.5,169.794,154.351,75.917,0.403,2.48,2025-12-09 11:59:38
162.1,166.247,158.226,76.312,0.395,2.53,2025-12-09 11:59:39
162.9,164.473,160.363,76.709,0.397,2.52,2025-12-09 11:59:39
163.6,163.587,161.531,77.106,0.397,2.52,2025-12-09 11:59:40
164.6,163.243,162.216,78.447,1.341,0.75,2025-12-09 11:59:41
172.3,163.422,162.216,78.806,0.359,2.79,2025-12-09 11:59:41
158.5,163.511,162.558,79.202,0.396,2.53,2025-12-09 11:59:42
155.8,163.555,162.729,79.591,0.389,2.57,2025-12-09 11:59:42
156.8,161.028,160.614,80.932,1.341,0.75,2025-12-09 11:59:43
155.6,158.914,158.707,81.269,0.337,2.97,2025-12-09 11:59:44
155.7,157.357,157.254,81.663,0.394,2.54,2025-12-09 11:59:44
155.3,156.528,156.477,85.11,3.447,2.54,2025-12-09 11:59:48
155.2,156.064,156.038,85.5,0.39,2.56,2025-12-09 11:59:48
155.2,155.682,155.669,85.894,0.394,2.54,2025-12-09 11:59:48
155.4,155.491,155.485,86.287,0.393,2.54,2025-12-09 11:59:49
156.1,155.396,155.392,86.684,0.397,2.52,2025-12-09 11:59:49
155.6,155.398,155.396,90.162,3.478,2.52,2025-12-09 11:59:53
155.3,155.399,155.398,90.552,0.39,2.56,2025-12-09 11:59:53
154.9,155.399,155.399,90.94,0.388,2.58,2025-12-09 11:59:53
155.3,155.35,155.35,91.335,0.395,2.53,2025-12-09 11:59:54
155.3,155.325,155.325,91.724,0.389,2.57,2025-12-09 11:59:54
162.2,155.312,155.312,92.574,0.85,1.18,2025-12-09 11:59:55
162.2,155.306,155.306,92.972,0.398,2.51,2025-12-09 11:59:56
162.3,158.753,158.753,93.37,0.398,2.51,2025-12-09 11:59:56
162.1,160.477,160.477,93.77,0.4,2.5,2025-12-09 11:59:56
162.2,161.338,161.338,94.169,0.399,2.51,2025-12-09 11:59:57
163.2,161.769,161.769,95.51,1.341,0.75,2025-12-09 11:59:58
156.6,161.985,161.985,95.851,0.341,2.93,2025-12-09 11:59:58
156.0,162.042,162.042,96.246,0.395,2.53,2025-12-09 11:59:59
157.0,159.521,159.521,97.587,1.341,0.75,2025-12-09 12:00:00
155.6,158.061,158.061,97.937,0.35,2.86,2025-12-09 12:00:00
155.6,157.03,157.03,98.331,0.394,2.54,2025-12-09 12:00:01
155.3,156.315,156.315,99.173,0.842,1.19,2025-12-09 12:00:02
155.8,155.958,155.958,99.565,0.392,2.55,2025-12-09 12:00:02
157.1,155.779,155.779,99.961,0.396,2.53,2025-12-09 12:00:03
157.1,155.789,155.789,100.359,0.398,2.51,2025-12-09 12:00:03
158.1,156.445,156.445,101.7,1.341,0.75,2025-12-09 12:00:04
155.1,156.772,156.772,102.065,0.365,2.74,2025-12-09 12:00:05
156.1,156.936,156.936,103.405,1.34,0.75,2025-12-09 12:00:06
155.4,156.518,156.518,105.08,1.675,0.6,2025-12-09 12:00:08
155.3,155.959,155.959,105.476,0.396,2.53,2025-12-09 12:00:08
155.2,155.63,155.63,105.868,0.392,2.55,2025-12-09 12:00:08
155.0,155.465,155.465,106.71,0.842,1.19,2025-12-09 12:00:09
155.1,155.332,155.332,107.102,0.392,2.55,2025-12-09 12:00:10
154.9,155.216,155.216,107.492,0.39,2.56,2025-12-09 12:00:10
153.9,155.108,155.108,107.88,0.388,2.58,2025-12-09 12:00:10
154.3,155.004,155.004,108.277,0.397,2.52,2025-12-09 12:00:11
155.3,154.952,154.952,109.618,1.341,0.75,2025-12-09 12:00:12
156.7,154.926,154.926,109.966,0.348,2.87,2025-12-09 12:00:13
156.1,155.113,155.113,110.36,0.394,2.54,2025-12-09 12:00:13
157.2,155.607,155.607,110.752,0.392,2.55,2025-12-09 12:00:13
162.5,156.153,156.153,111.153,0.401,2.49,2025-12-09 12:00:14
160.3,156.677,156.677,111.546,0.393,2.54,2025-12-09 12:00:14
159.5,158.088,158.088,112.392,0.846,1.18,2025-12-09 12:00:15
159.4,158.794,158.794,112.789,0.397,2.52,2025-12-09 12:00:15
159.2,159.147,159.147,113.187,0.398,2.51,2025-12-09 12:00:16
159.2,159.274,159.274,113.58,0.393,2.54,2025-12-09 12:00:16
159.3,159.287,159.287,113.97,0.39,2.56,2025-12-09 12:00:17
159.5,159.293,159.293,114.36,0.39,2.56,2025-12-09 12:00:17
159.3,159.297,159.297,114.756,0.396,2.53,2025-12-09 12:00:17
160.7,159.298,159.298,115.151,0.395,2.53,2025-12-09 12:00:18
159.5,159.399,159.399,115.545,0.394,2.54,2025-12-09 12:00:18
160.0,159.45,159.45,115.938,0.393,2.54,2025-12-09 12:00:18
160.8,159.725,159.725,116.335,0.397,2.52,2025-12-09 12:00:19
160.9,160.212,160.212,116.732,0.397,2.52,2025-12-09 12:00:19
160.9,160.506,160.506,117.575,0.843,1.19,2025-12-09 12:00:20
160.8,160.653,160.653,117.973,0.398,2.51,2025-12-09 12:00:21
160.1,160.727,160.727,118.375,0.402,2.49,2025-12-09 12:00:21
160.1,160.763,160.763,118.775,0.4,2.5,2025-12-09 12:00:21
161.1,160.782,160.782,120.116,1.341,0.75,2025-12-09 12:00:23
161.4,160.791,160.791,121.803,1.687,0.59,2025-12-09 12:00:24
155.2,160.445,160.445,122.655,0.852,1.17,2025-12-09 12:00:25
155.1,160.273,160.273,123.048,0.393,2.54,2025-12-09 12:00:26
155.8,158.036,158.036,123.439,0.391,2.56,2025-12-09 12:00:26
156.8,156.918,156.918,124.779,1.34,0.75,2025-12-09 12:00:27
155.4,156.159,156.159,125.136,0.357,2.8,2025-12-09 12:00:28
155.8,155.98,155.98,125.528,0.392,2.55,2025-12-09 12:00:28
155.7,155.89,155.89,125.919,0.391,2.56,2025-12-09 12:00:28
155.9,155.845,155.845,126.311,0.392,2.55,2025-12-09 12:00:29
155.6,155.772,155.772,126.708,0.397,2.52,2025-12-09 12:00:29
155.9,155.786,155.786,127.111,0.403,2.48,2025-12-09 12:00:30
155.5,155.743,155.743,127.502,0.391,2.56,2025-12-09 12:00:30
155.5,155.672,155.672,128.343,0.841,1.19,2025-12-09 12:00:31
155.0,155.586,155.586,128.734,0.391,2.56,2025-12-09 12:00:31
155.1,155.543,155.543,129.133,0.399,2.51,2025-12-09 12:00:32
155.0,155.321,155.321,129.522,0.389,2.57,2025-12-09 12:00:32
155.1,155.211,155.211,129.916,0.394,2.54,2025-12-09 12:00:33
156.0,155.155,155.155,130.31,0.394,2.54,2025-12-09 12:00:33
156.0,155.128,155.128,130.7,0.39,2.56,2025-12-09 12:00:33
156.3,155.564,155.564,131.094,0.394,2.54,2025-12-09 12:00:34
156.4,155.782,155.782,131.484,0.39,2.56,2025-12-09 12:00:34
156.5,156.041,156.041,131.874,0.39,2.56,2025-12-09 12:00:34
156.3,156.17,156.17,132.274,0.4,2.5,2025-12-09 12:00:35
155.7,156.235,156.235,132.666,0.392,2.55,2025-12-09 12:00:35
155.3,156.268,156.268,133.508,0.842,1.19,2025-12-09 12:00:36
155.3,155.984,155.984,133.897,0.389,2.57,2025-12-09 12:00:37
155.3,155.642,155.642,134.287,0.39,2.56,2025-12-09 12:00:37
155.3,155.471,155.471,134.682,0.395,2.53,2025-12-09 12:00:37
155.2,155.385,155.385,135.073,0.391,2.56,2025-12-09 12:00:38
155.3,155.343,155.343,135.468,0.395,2.53,2025-12-09 12:00:38
155.3,155.321,155.321,135.857,0.389,2.57,2025-12-09 12:00:38
155.4,155.311,155.311,136.256,0.399,2.51,2025-12-09 12:00:39
155.4,155.305,155.305,136.647,0.391,2.56,2025-12-09 12:00:39
155.3,155.303,155.303,137.034,0.387,2.58,2025-12-09 12:00:40
155.3,155.301,155.301,137.423,0.389,2.57,2025-12-09 12:00:40
155.3,155.301,155.301,137.815,0.392,2.55,2025-12-09 12:00:40
155.3,155.3,155.3,138.207,0.392,2.55,2025-12-09 12:00:41
155.3,155.3,155.3,138.601,0.394,2.54,2025-12-09 12:00:41
155.2,155.3,155.3,138.993,0.392,2.55,2025-12-09 12:00:42
155.3,155.3,155.3,139.84,0.847,1.18,2025-12-09 12:00:42
155.4,155.3,155.3,140.233,0.393,2.54,2025-12-09 12:00:43
155.3,155.3,155.3,140.631,0.398,2.51,2025-12-09 12:00:43
