distance_m,distance_filt_m,t_rel_s,dt_s,fps,host_ts
25.6,416.275,2.428,1.228,0.81,2025-11-28 19:47:44
529.6,416.275,4.148,1.72,0.58,2025-11-28 19:47:46
530.6,416.275,5.488,1.34,0.75,2025-11-28 19:47:48
521.5,521.5,6.071,0.583,1.72,2025-11-28 19:47:48
520.9,521.35,6.462,0.391,2.56,2025-11-28 19:47:49
521.0,521.387,6.861,0.399,2.51,2025-11-28 19:47:49
520.6,521.291,11.82,4.959,2.51,2025-11-28 19:47:54
521.9,521.218,12.222,0.402,2.49,2025-11-28 19:47:54
520.7,521.138,13.078,0.856,1.17,2025-11-28 19:47:55
520.1,521.029,13.479,0.401,2.49,2025-11-28 19:47:56
520.4,520.922,13.869,0.39,2.56,2025-11-28 19:47:56
520.3,520.791,14.495,0.626,1.6,2025-11-28 19:47:57
521.3,520.693,15.779,1.284,0.78,2025-11-28 19:47:58
501.6,520.693,27.436,11.657,0.78,2025-11-28 19:48:09
500.0,520.693,28.777,1.341,0.75,2025-11-28 19:48:11
519.7,520.595,29.124,0.347,2.88,2025-11-28 19:48:11
520.1,520.521,29.521,0.397,2.52,2025-11-28 19:48:12
521.1,520.466,29.916,0.395,2.53,2025-11-28 19:48:12
521.1,520.625,30.311,0.395,2.53,2025-11-28 19:48:12
520.8,520.668,31.162,0.851,1.18,2025-11-28 19:48:13
522.6,520.776,31.559,0.397,2.52,2025-11-28 19:48:14
520.9,520.857,31.951,0.392,2.55,2025-11-28 19:48:14
520.4,520.868,32.35,0.399,2.51,2025-11-28 19:48:14
520.3,520.851,32.747,0.397,2.52,2025-11-28 19:48:15
520.4,520.738,33.145,0.398,2.51,2025-11-28 19:48:15
520.6,520.654,33.549,0.404,2.48,2025-11-28 19:48:16
520.6,520.59,33.946,0.397,2.52,2025-11-28 19:48:16
520.4,520.543,34.336,0.39,2.56,2025-11-28 19:48:16
520.5,520.532,34.734,0.398,2.51,2025-11-28 19:48:17
520.3,520.524,35.13,0.396,2.53,2025-11-28 19:48:17
520.6,520.518,35.52,0.39,2.56,2025-11-28 19:48:18
520.9,520.514,35.919,0.399,2.51,2025-11-28 19:48:18
520.4,520.51,36.761,0.842,1.19,2025-11-28 19:48:19
520.7,520.533,37.156,0.395,2.53,2025-11-28 19:48:19
520.7,520.574,37.55,0.394,2.54,2025-11-28 19:48:20
520.8,520.606,37.947,0.397,2.52,2025-11-28 19:48:20
520.7,520.629,38.35,0.403,2.48,2025-11-28 19:48:20
521.0,520.647,38.749,0.399,2.51,2025-11-28 19:48:21
520.8,520.685,39.148,0.399,2.51,2025-11-28 19:48:21
522.7,520.714,39.544,0.396,2.53,2025-11-28 19:48:22
522.4,520.786,39.937,0.393,2.54,2025-11-28 19:48:22
520.4,520.839,40.556,0.619,1.62,2025-11-28 19:48:23
521.4,520.979,41.84,1.284,0.78,2025-11-28 19:48:24
520.7,521.085,44.79,2.95,0.78,2025-11-28 19:48:27
520.5,520.988,46.928,2.138,0.78,2025-11-28 19:48:29
521.5,520.916,48.268,1.34,0.75,2025-11-28 19:48:30
522.4,521.037,57.188,8.92,0.75,2025-11-28 19:48:39
520.9,521.003,57.537,0.349,2.87,2025-11-28 19:48:40
521.9,521.127,58.878,1.341,0.75,2025-11-28 19:48:41
597.5,521.127,61.81,2.932,0.75,2025-11-28 19:48:44
598.5,521.127,63.151,1.341,0.75,2025-11-28 19:48:45
519.7,521.22,63.502,0.351,2.85,2025-11-28 19:48:46
521.6,521.315,63.894,0.392,2.55,2025-11-28 19:48:46
638.8,521.315,64.29,0.396,2.53,2025-11-28 19:48:46
501.3,521.315,67.975,3.685,2.53,2025-11-28 19:48:50
597.7,521.315,68.369,0.394,2.54,2025-11-28 19:48:50
520.8,521.211,69.227,0.858,1.17,2025-11-28 19:48:51
517.7,521.109,69.62,0.393,2.54,2025-11-28 19:48:52
520.9,521.031,70.019,0.399,2.51,2025-11-28 19:48:52
521.9,520.999,70.419,0.4,2.5,2025-11-28 19:48:52
521.3,520.974,70.823,0.404,2.47,2025-11-28 19:48:53
520.6,520.956,71.937,1.114,0.9,2025-11-28 19:48:54
520.7,520.942,72.533,0.596,1.68,2025-11-28 19:48:55
520.6,520.881,72.929,0.396,2.53,2025-11-28 19:48:55
521.6,520.836,74.269,1.34,0.75,2025-11-28 19:48:56
628.9,520.836,77.771,3.502,0.75,2025-11-28 19:49:00
565.6,520.836,78.998,1.227,0.81,2025-11-28 19:49:01
520.7,520.802,79.572,0.574,1.74,2025-11-28 19:49:02
520.5,520.776,79.966,0.394,2.54,2025-11-28 19:49:02
520.7,520.757,80.366,0.4,2.5,2025-11-28 19:49:02
521.7,520.743,81.65,1.284,0.78,2025-11-28 19:49:04
638.9,520.743,83.292,1.642,0.61,2025-11-28 19:49:05
639.9,520.743,84.633,1.341,0.75,2025-11-28 19:49:07
502.4,520.743,85.215,0.582,1.72,2025-11-28 19:49:07
501.1,520.743,85.608,0.393,2.54,2025-11-28 19:49:08
565.0,565.0,85.997,0.389,2.57,2025-11-28 19:49:08
628.8,565.0,86.622,0.625,1.6,2025-11-28 19:49:09
565.0,565.0,87.242,0.62,1.61,2025-11-28 19:49:09
501.2,565.0,88.356,1.114,0.9,2025-11-28 19:49:10
501.4,565.0,88.978,0.622,1.61,2025-11-28 19:49:11
501.2,565.0,89.376,0.398,2.51,2025-11-28 19:49:11
501.2,565.0,89.772,0.396,2.53,2025-11-28 19:49:12
506.8,506.8,90.174,0.402,2.49,2025-11-28 19:49:12
597.9,506.8,90.567,0.393,2.54,2025-11-28 19:49:13
565.4,506.8,90.963,0.396,2.53,2025-11-28 19:49:13
565.4,506.8,91.357,0.394,2.54,2025-11-28 19:49:13
501.9,506.8,92.227,0.87,1.15,2025-11-28 19:49:14
501.2,506.8,92.623,0.396,2.53,2025-11-28 19:49:15
501.1,505.575,93.02,0.397,2.52,2025-11-28 19:49:15
501.7,504.606,93.412,0.392,2.55,2025-11-28 19:49:15
501.2,503.755,93.813,0.401,2.49,2025-11-28 19:49:16
502.4,503.116,94.669,0.856,1.17,2025-11-28 19:49:17
529.9,503.116,95.065,0.396,2.53,2025-11-28 19:49:17
747.9,503.116,96.123,1.058,0.95,2025-11-28 19:49:18
747.7,503.116,96.742,0.619,1.62,2025-11-28 19:49:19
502.2,502.762,97.364,0.622,1.61,2025-11-28 19:49:19
502.7,502.622,97.765,0.401,2.49,2025-11-28 19:49:20
502.0,502.516,98.162,0.397,2.52,2025-11-28 19:49:20
501.6,502.437,98.558,0.396,2.53,2025-11-28 19:49:21
502.1,502.353,98.955,0.397,2.52,2025-11-28 19:49:21
502.3,502.29,99.805,0.85,1.18,2025-11-28 19:49:22
500.8,502.217,100.194,0.389,2.57,2025-11-28 19:49:22
501.7,502.088,100.807,0.613,1.63,2025-11-28 19:49:23
565.8,502.088,101.433,0.626,1.6,2025-11-28 19:49:23
500.1,501.991,102.068,0.635,1.57,2025-11-28 19:49:24
502.4,501.918,102.463,0.395,2.53,2025-11-28 19:49:25
502.3,501.864,102.86,0.397,2.52,2025-11-28 19:49:25
499.9,501.823,103.688,0.828,1.21,2025-11-28 19:49:26
502.1,501.892,104.084,0.396,2.53,2025-11-28 19:49:26
501.9,501.944,105.197,1.113,0.9,2025-11-28 19:49:27
502.3,501.983,105.585,0.388,2.58,2025-11-28 19:49:28
500.6,501.962,106.217,0.632,1.58,2025-11-28 19:49:28
565.8,501.962,106.613,0.396,2.53,2025-11-28 19:49:29
565.5,501.962,107.008,0.395,2.53,2025-11-28 19:49:29
566.6,501.962,107.402,0.394,2.54,2025-11-28 19:49:29
566.1,501.962,107.794,0.392,2.55,2025-11-28 19:49:30
565.9,565.9,108.418,0.624,1.6,2025-11-28 19:49:30
639.1,565.9,108.809,0.391,2.56,2025-11-28 19:49:31
738.2,565.9,109.434,0.625,1.6,2025-11-28 19:49:31
739.2,565.9,110.775,1.341,0.75,2025-11-28 19:49:33
521.4,565.9,112.65,1.875,0.53,2025-11-28 19:49:35
520.6,520.6,113.48,0.83,1.2,2025-11-28 19:49:36
521.4,520.6,113.874,0.394,2.54,2025-11-28 19:49:36
522.4,520.6,114.277,0.403,2.48,2025-11-28 19:49:36
520.2,520.6,114.912,0.635,1.57,2025-11-28 19:49:37
521.0,520.7,115.548,0.636,1.57,2025-11-28 19:49:38
521.4,520.875,115.947,0.399,2.51,2025-11-28 19:49:38
520.1,520.906,116.343,0.396,2.53,2025-11-28 19:49:38
521.1,520.93,116.733,0.39,2.56,2025-11-28 19:49:39
521.1,520.972,117.131,0.398,2.51,2025-11-28 19:49:39
520.6,521.004,118.002,0.871,1.15,2025-11-28 19:49:40
520.2,520.903,118.4,0.398,2.51,2025-11-28 19:49:40
521.3,520.952,119.039,0.639,1.56,2025-11-28 19:49:41
521.0,520.964,119.431,0.392,2.55,2025-11-28 19:49:41
521.1,520.973,119.826,0.395,2.53,2025-11-28 19:49:42
521.1,521.005,120.22,0.394,2.54,2025-11-28 19:49:42
521.8,521.029,120.613,0.393,2.54,2025-11-28 19:49:43
521.7,521.047,121.005,0.392,2.55,2025-11-28 19:49:43
521.1,521.06,121.849,0.844,1.18,2025-11-28 19:49:44
521.1,521.07,122.244,0.395,2.53,2025-11-28 19:49:44
521.0,521.077,122.635,0.391,2.56,2025-11-28 19:49:45
520.7,521.083,123.034,0.399,2.51,2025-11-28 19:49:45
521.2,521.087,123.437,0.403,2.48,2025-11-28 19:49:45
521.1,521.09,123.833,0.396,2.53,2025-11-28 19:49:46
530.3,521.093,124.23,0.397,2.51,2025-11-28 19:49:46
502.4,521.093,125.099,0.869,1.15,2025-11-28 19:49:47
27.6,521.093,125.363,0.264,3.79,2025-11-28 19:49:47
529.3,521.12,126.515,1.152,0.87,2025-11-28 19:49:49
531.9,521.12,130.377,3.862,0.87,2025-11-28 19:49:52
504.3,521.12,130.77,0.393,2.54,2025-11-28 19:49:53
505.3,521.12,132.111,1.341,0.75,2025-11-28 19:49:54
504.2,521.12,142.527,10.416,0.75,2025-11-28 19:50:05
567.0,567.0,142.919,0.392,2.55,2025-11-28 19:50:05
629.8,567.0,143.318,0.399,2.51,2025-11-28 19:50:05
521.0,567.0,144.173,0.855,1.17,2025-11-28 19:50:06
521.0,567.0,144.572,0.399,2.51,2025-11-28 19:50:07
521.5,567.0,145.187,0.615,1.63,2025-11-28 19:50:07
522.5,522.5,146.528,1.341,0.75,2025-11-28 19:50:09
523.0,522.5,146.875,0.347,2.88,2025-11-28 19:50:09
639.0,522.5,149.239,2.364,2.88,2025-11-28 19:50:11
597.6,522.5,150.086,0.847,1.18,2025-11-28 19:50:12
598.6,522.5,151.371,1.285,0.78,2025-11-28 19:50:13
522.5,522.5,153.074,1.703,0.59,2025-11-28 19:50:15
521.1,522.5,153.714,0.64,1.56,2025-11-28 19:50:16
522.1,522.5,155.055,1.341,0.75,2025-11-28 19:50:17
3.1,522.5,158.642,3.587,0.75,2025-11-28 19:50:21
3.2,522.5,158.741,0.099,10.1,2025-11-28 19:50:21
3.4,522.5,158.841,0.1,10.0,2025-11-28 19:50:21
4.0,522.5,158.942,0.101,9.9,2025-11-28 19:50:21
5.9,5.9,159.044,0.102,9.8,2025-11-28 19:50:21
5.0,5.9,159.142,0.098,10.2,2025-11-28 19:50:21
5.9,5.9,159.243,0.101,9.9,2025-11-28 19:50:21
6.6,5.9,159.343,0.1,10.0,2025-11-28 19:50:21
7.0,5.9,159.443,0.1,10.0,2025-11-28 19:50:21
6.9,6.075,159.544,0.101,9.9,2025-11-28 19:50:22
6.7,6.231,159.644,0.1,10.0,2025-11-28 19:50:22
6.7,6.348,159.744,0.1,10.0,2025-11-28 19:50:22
7.0,6.486,159.845,0.101,9.9,2025-11-28 19:50:22
7.1,6.59,159.945,0.1,10.0,2025-11-28 19:50:22
7.0,6.692,160.045,0.1,10.0,2025-11-28 19:50:22
6.9,6.769,160.146,0.101,9.9,2025-11-28 19:50:22
6.9,6.827,160.246,0.1,10.0,2025-11-28 19:50:22
6.9,6.845,160.346,0.1,10.0,2025-11-28 19:50:22
6.9,6.859,160.447,0.101,9.9,2025-11-28 19:50:22
6.9,6.869,160.547,0.1,10.0,2025-11-28 19:50:23
6.9,6.877,160.647,0.1,10.0,2025-11-28 19:50:23
6.9,6.883,160.748,0.101,9.9,2025-11-28 19:50:23
6.9,6.887,160.848,0.1,10.0,2025-11-28 19:50:23
6.8,6.89,160.949,0.101,9.9,2025-11-28 19:50:23
6.7,6.893,161.049,0.1,10.0,2025-11-28 19:50:23
6.7,6.87,161.149,0.1,10.0,2025-11-28 19:50:23
6.7,6.827,161.25,0.101,9.9,2025-11-28 19:50:23
6.7,6.795,161.35,0.1,10.0,2025-11-28 19:50:23
6.7,6.772,161.45,0.1,10.0,2025-11-28 19:50:24
6.8,6.754,161.551,0.101,9.9,2025-11-28 19:50:24
6.8,6.74,161.651,0.1,10.0,2025-11-28 19:50:24
6.8,6.755,161.751,0.1,10.0,2025-11-28 19:50:24
6.7,6.766,161.852,0.101,9.9,2025-11-28 19:50:24
6.5,6.775,161.952,0.1,10.0,2025-11-28 19:50:24
6.4,6.756,162.052,0.1,10.0,2025-11-28 19:50:24
6.5,6.692,162.153,0.101,9.9,2025-11-28 19:50:24
6.5,6.644,162.253,0.1,10.0,2025-11-28 19:50:24
6.5,6.608,162.353,0.1,10.0,2025-11-28 19:50:24
6.4,6.581,162.454,0.101,9.9,2025-11-28 19:50:25
6.5,6.561,162.554,0.1,10.0,2025-11-28 19:50:25
6.5,6.546,162.654,0.1,10.0,2025-11-28 19:50:25
6.5,6.534,162.755,0.101,9.9,2025-11-28 19:50:25
6.5,6.526,162.855,0.1,10.0,2025-11-28 19:50:25
6.5,6.519,162.955,0.1,10.0,2025-11-28 19:50:25
6.5,6.514,163.056,0.101,9.9,2025-11-28 19:50:25
6.6,6.511,163.156,0.1,10.0,2025-11-28 19:50:25
6.5,6.508,163.256,0.1,10.0,2025-11-28 19:50:25
6.5,6.506,163.357,0.101,9.9,2025-11-28 19:50:25
6.5,6.505,163.903,0.546,1.83,2025-11-28 19:50:26
6.9,6.503,163.988,0.085,11.76,2025-11-28 19:50:26
