distance_raw_m,distance_medema_m,distance_gated_m,t_rel_s,dt_s,fps,host_ts
160.3,154.041,158.8,917.532,0.361,2.77,2025-12-09 11:21:02
160.9,155.48,159.05,917.929,0.397,2.52,2025-12-09 11:21:03
160.8,156.685,159.363,918.322,0.393,2.54,2025-12-09 11:21:03
160.6,157.664,159.672,918.714,0.392,2.55,2025-12-09 11:21:03
160.4,158.398,159.904,919.11,0.396,2.53,2025-12-09 11:21:04
160.1,158.949,160.078,919.503,0.393,2.54,2025-12-09 11:21:04
160.8,159.361,160.208,920.357,0.854,1.17,2025-12-09 11:21:05
160.8,159.671,160.306,920.748,0.391,2.56,2025-12-09 11:21:06
159.8,159.853,160.33,921.139,0.391,2.56,2025-12-09 11:21:06
158.9,159.915,160.272,921.534,0.395,2.53,2025-12-09 11:21:06
158.8,159.886,160.154,921.931,0.397,2.52,2025-12-09 11:21:07
159.2,159.715,159.916,922.325,0.394,2.54,2025-12-09 11:21:07
158.4,159.511,159.662,922.719,0.394,2.54,2025-12-09 11:21:07
159.4,159.358,159.471,924.057,1.338,0.75,2025-12-09 11:21:09
141.1,159.219,159.471,924.421,0.364,2.75,2025-12-09 11:21:09
142.1,159.014,159.471,925.76,1.339,0.75,2025-12-09 11:21:11
24.9,154.786,159.471,931.567,5.807,0.75,2025-12-09 11:21:16
25.0,151.364,159.471,931.995,0.428,2.34,2025-12-09 11:21:17
25.0,119.773,25.0,932.2,0.205,4.88,2025-12-09 11:21:17
