alpha,beta,gate_m,ab_sigma,ab_bias,ab_rmse,ab_rate_std,sensor_reject_ratio,ab_tracker_gate_reject_ratio,score_static
0.1,0.0,6.0,0.16550994213155762,0.7094570839710741,0.7283875436803242,0.0,0.0,0.0,0.5202384841170946
0.1,0.0,8.0,0.16550994213155762,0.7094570839710741,0.7283875436803242,0.0,0.0,0.0,0.5202384841170946
0.1,0.0,10.0,0.16550994213155762,0.7094570839710741,0.7283875436803242,0.0,0.0,0.0,0.5202384841170946
0.15,0.0,6.0,0.16426026282974454,0.7235600412363965,0.7418549123322935,0.0,0.0,0.0,0.5260402834479427
0.15,0.0,8.0,0.16426026282974454,0.7235600412363965,0.7418549123322935,0.0,0.0,0.0,0.5260402834479427
0.15,0.0,10.0,0.16426026282974454,0.7235600412363965,0.7418549123322935,0.0,0.0,0.0,0.5260402834479427
0.2,0.0,6.0,0.1690127069597509,0.7306010338679698,0.7497741134822252,0.0,0.0,0.0,0.5343132238937358
0.2,0.0,8.0,0.1690127069597509,0.7306010338679698,0.7497741134822252,0.0,0.0,0.0,0.5343132238937358
0.2,0.0,10.0,0.1690127069597509,0.7306010338679698,0.7497741134822252,0.0,0.0,0.0,0.5343132238937358
0.1,0.01,6.0,0.15462765892602578,0.7515516475797313,0.7671944347555325,0.020437761696761474,0.0,0.0,0.5365348112249199
0.1,0.01,8.0,0.15462765892602578,0.7515516475797313,0.7671944347555325,0.020437761696761474,0.0,0.0,0.5365348112249199
0.1,0.01,10.0,0.15462765892602578,0.7515516475797313,0.7671944347555325,0.020437761696761474,0.0,0.0,0.5365348112249199
0.15,0.01,6.0,0.15940175873264678,0.7503227133809105,0.7669623554277145,0.017449092630098133,0.0,0.0,0.5397978432121315
0.15,0.01,8.0,0.15940175873264678,0.7503227133809105,0.7669623554277145,0.017449092630098133,0.0,0.0,0.5397978432121315
0.15,0.01,10.0,0.15940175873264678,0.7503227133809105,0.7669623554277145,0.017449092630098133,0.0,0.0,0.5397978432121315
0.25,0.0,6.0,0.17674136111223673,0.734878030574805,0.7557011734313592,0.0,0.0,0.0,0.5441803763996392
0.25,0.0,8.0,0.17674136111223673,0.734878030574805,0.7557011734313592,0.0,0.0,0.0,0.5441803763996392
0.25,0.0,10.0,0.17674136111223673,0.734878030574805,0.7557011734313592,0.0,0.0,0.0,0.5441803763996392
0.2,0.01,6.0,0.16736006157838093,0.7497623676991907,0.7680980370174232,0.015438960630502803,0.0,0.0,0.5468729336171271
0.2,0.01,8.0,0.16736006157838093,0.7497623676991907,0.7680980370174232,0.015438960630502803,0.0,0.0,0.5468729336171271
0.2,0.01,10.0,0.16736006157838093,0.7497623676991907,0.7680980370174232,0.015438960630502803,0.0,0.0,0.5468729336171271
0.15,0.02,6.0,0.16677251756149525,0.7501303994383761,0.768330355671798,0.03542391674574251,0.0,0.0,0.5524648923044061
0.15,0.02,8.0,0.16677251756149525,0.7501303994383761,0.768330355671798,0.03542391674574251,0.0,0.0,0.5524648923044061
0.15,0.02,10.0,0.16677251756149525,0.7501303994383761,0.768330355671798,0.03542391674574251,0.0,0.0,0.5524648923044061
0.3,0.0,6.0,0.18607467999523306,0.7378113465722436,0.7607685824177042,0.0,0.0,0.0,0.5549803532813549
0.3,0.0,8.0,0.18607467999523306,0.7378113465722436,0.7607685824177042,0.0,0.0,0.0,0.5549803532813549
0.3,0.0,10.0,0.18607467999523306,0.7378113465722436,0.7607685824177042,0.0,0.0,0.0,0.5549803532813549
0.25,0.01,6.0,0.17666999200049802,0.7494511963412833,0.7698639992888402,0.01394345816835298,0.0,0.0,0.5555786276216456
0.25,0.01,8.0,0.17666999200049802,0.7494511963412833,0.7698639992888402,0.01394345816835298,0.0,0.0,0.5555786276216456
0.25,0.01,10.0,0.17666999200049802,0.7494511963412833,0.7698639992888402,0.01394345816835298,0.0,0.0,0.5555786276216456
0.2,0.02,6.0,0.17150650078590277,0.7498689660612854,0.7691102604302602,0.031055014648421825,0.0,0.0,0.5557574882110721
0.2,0.02,8.0,0.17150650078590277,0.7498689660612854,0.7691102604302602,0.031055014648421825,0.0,0.0,0.5557574882110721
0.2,0.02,10.0,0.17150650078590277,0.7498689660612854,0.7691102604302602,0.031055014648421825,0.0,0.0,0.5557574882110721
0.1,0.02,6.0,0.1678487394669885,0.7504810789172325,0.7689054571427041,0.04246498252773551,0.0,0.0,0.5558287736839255
0.1,0.02,8.0,0.1678487394669885,0.7504810789172325,0.7689054571427041,0.04246498252773551,0.0,0.0,0.5558287736839255
0.1,0.02,10.0,0.1678487394669885,0.7504810789172325,0.7689054571427041,0.04246498252773551,0.0,0.0,0.5558287736839255
0.25,0.02,6.0,0.17914719312467434,0.7497455726133921,0.7707189642661115,0.02809995401392634,0.0,0.0,0.5624499656355483
0.25,0.02,8.0,0.17914719312467434,0.7497455726133921,0.7707189642661115,0.02809995401392634,0.0,0.0,0.5624499656355483
0.25,0.02,10.0,0.17914719312467434,0.7497455726133921,0.7707189642661115,0.02809995401392634,0.0,0.0,0.5624499656355483
0.3,0.01,6.0,0.18674650839833062,0.7492661088127761,0.7720439308613878,0.012790503727935547,0.0,0.0,0.5652167139230994
0.3,0.01,8.0,0.18674650839833062,0.7492661088127761,0.7720439308613878,0.012790503727935547,0.0,0.0,0.5652167139230994
0.3,0.01,10.0,0.18674650839833062,0.7492661088127761,0.7720439308613878,0.012790503727935547,0.0,0.0,0.5652167139230994
0.35,0.0,6.0,0.19633480472735554,0.7399938643100086,0.7654363136188411,0.0,0.0,0.0,0.5663317368823598
0.35,0.0,8.0,0.19633480472735554,0.7399938643100086,0.7654363136188411,0.0,0.0,0.0,0.5663317368823598
0.35,0.0,10.0,0.19633480472735554,0.7399938643100086,0.7654363136188411,0.0,0.0,0.0,0.5663317368823598
0.2,0.03,6.0,0.17912134955574546,0.7496481295005424,0.7706182039935684,0.0471215894489233,0.0,0.0,0.5680818911406936
0.2,0.03,8.0,0.17912134955574546,0.7496481295005424,0.7706182039935684,0.0471215894489233,0.0,0.0,0.5680818911406936
0.2,0.03,10.0,0.17912134955574546,0.7496481295005424,0.7706182039935684,0.0471215894489233,0.0,0.0,0.5680818911406936
0.15,0.03,6.0,0.17965469851027127,0.7496886399399045,0.7707809605456004,0.05444094885769158,0.0,0.0,0.570831303137531
0.15,0.03,8.0,0.17965469851027127,0.7496886399399045,0.7707809605456004,0.05444094885769158,0.0,0.0,0.570831303137531
0.15,0.03,10.0,0.17965469851027127,0.7496886399399045,0.7707809605456004,0.05444094885769158,0.0,0.0,0.570831303137531
0.3,0.02,6.0,0.18835090896765994,0.7497046165467509,0.7728564645415806,0.02595070862774821,0.0,0.0,0.5709884298293598
0.3,0.02,8.0,0.18835090896765994,0.7497046165467509,0.7728564645415806,0.02595070862774821,0.0,0.0,0.5709884298293598
0.3,0.02,10.0,0.18835090896765994,0.7497046165467509,0.7728564645415806,0.02595070862774821,0.0,0.0,0.5709884298293598
0.25,0.03,6.0,0.1840548534579805,0.7496853302122872,0.7718085977182351,0.0424606677979439,0.0,0.0,0.5716357189035073
0.25,0.03,8.0,0.1840548534579805,0.7496853302122872,0.7718085977182351,0.0424606677979439,0.0,0.0,0.5716357189035073
0.25,0.03,10.0,0.1840548534579805,0.7496853302122872,0.7718085977182351,0.0424606677979439,0.0,0.0,0.5716357189035073
0.35,0.01,6.0,0.19731629007888762,0.7491648581303707,0.7745538829035117,0.011891835727636234,0.0,0.0,0.5754662698623638
0.35,0.01,8.0,0.19731629007888762,0.7491648581303707,0.7745538829035117,0.011891835727636234,0.0,0.0,0.5754662698623638
0.35,0.01,10.0,0.19731629007888762,0.7491648581303707,0.7745538829035117,0.011891835727636234,0.0,0.0,0.5754662698623638
0.3,0.03,6.0,0.19169195275440457,0.7497466959125632,0.7737130366426671,0.039178857457202475,0.0,0.0,0.5783189579478468
