distance_raw_m,distance_medema_m,distance_gated_m,t_rel_s,dt_s,fps,host_ts
342.4,342.362,342.362,223.453,0.397,2.52,2025-12-09 12:02:06
341.4,342.281,342.281,223.851,0.398,2.51,2025-12-09 12:02:06
342.5,342.24,342.24,224.257,0.406,2.46,2025-12-09 12:02:07
339.4,341.82,341.82,224.658,0.401,2.49,2025-12-09 12:02:07
339.8,341.61,341.61,225.062,0.404,2.48,2025-12-09 12:02:08
341.1,341.355,341.355,225.468,0.406,2.46,2025-12-09 12:02:08
337.7,340.578,340.578,226.809,1.341,0.75,2025-12-09 12:02:09
336.7,339.989,339.989,227.177,0.368,2.72,2025-12-09 12:02:10
336.2,338.844,338.844,227.582,0.405,2.47,2025-12-09 12:02:10
336.6,337.772,337.772,227.978,0.396,2.53,2025-12-09 12:02:11
336.0,337.186,337.186,228.374,0.396,2.53,2025-12-09 12:02:11
336.2,336.693,336.693,228.768,0.394,2.53,2025-12-09 12:02:11
354.8,336.447,336.693,229.611,0.843,1.19,2025-12-09 12:02:12
355.8,336.523,336.693,231.009,1.398,0.72,2025-12-09 12:02:14
344.4,340.462,336.447,232.691,1.682,0.59,2025-12-09 12:02:15
344.2,342.431,336.523,233.095,0.404,2.48,2025-12-09 12:02:16
360.6,348.615,336.523,234.44,1.345,0.74,2025-12-09 12:02:17
361.6,352.208,336.523,235.725,1.285,0.78,2025-12-09 12:02:18
356.8,354.504,336.523,236.579,0.854,1.17,2025-12-09 12:02:19
344.8,355.652,340.362,236.979,0.4,2.5,2025-12-09 12:02:19
344.2,356.226,342.281,237.379,0.4,2.49,2025-12-09 12:02:20
343.9,350.513,343.24,237.784,0.405,2.48,2025-12-09 12:02:20
344.0,347.357,343.72,238.184,0.4,2.5,2025-12-09 12:02:21
344.2,345.778,343.96,238.58,0.396,2.53,2025-12-09 12:02:21
344.2,344.989,344.08,238.976,0.396,2.52,2025-12-09 12:02:22
345.7,344.595,344.14,239.37,0.394,2.54,2025-12-09 12:02:22
346.7,344.397,344.17,240.768,1.398,0.72,2025-12-09 12:02:23
359.6,345.049,344.17,242.053,1.285,0.78,2025-12-09 12:02:25
345.4,345.374,344.785,242.605,0.552,1.81,2025-12-09 12:02:25
357.7,346.037,344.785,244.203,1.598,0.63,2025-12-09 12:02:27
358.7,351.869,344.785,245.543,1.34,0.75,2025-12-09 12:02:28
336.5,354.784,345.093,247.241,1.698,0.59,2025-12-09 12:02:30
337.3,350.092,345.246,248.099,0.858,1.17,2025-12-09 12:02:31
336.2,343.696,341.273,248.497,0.398,2.51,2025-12-09 12:02:31
336.3,340.098,338.887,248.894,0.397,2.52,2025-12-09 12:02:31
336.2,338.199,337.593,249.287,0.393,2.54,2025-12-09 12:02:32
342.0,337.25,336.947,249.687,0.4,2.5,2025-12-09 12:02:32
342.3,336.775,336.623,251.027,1.34,0.75,2025-12-09 12:02:34
335.7,336.537,336.462,251.654,0.627,1.59,2025-12-09 12:02:34
336.8,336.669,336.631,252.046,0.392,2.55,2025-12-09 12:02:35
337.1,336.884,336.865,252.442,0.396,2.53,2025-12-09 12:02:35
356.8,336.992,336.865,253.612,1.17,0.85,2025-12-09 12:02:36
356.9,337.046,336.865,253.951,0.339,2.95,2025-12-09 12:02:37
356.7,346.873,336.865,254.349,0.398,2.51,2025-12-09 12:02:37
357.1,351.837,336.865,254.743,0.394,2.54,2025-12-09 12:02:37
358.1,354.368,358.1,256.083,1.34,0.75,2025-12-09 12:02:39
354.9,355.634,358.1,256.443,0.36,2.78,2025-12-09 12:02:39
353.9,356.167,358.1,256.838,0.395,2.53,2025-12-09 12:02:39
341.7,355.534,358.1,257.237,0.399,2.51,2025-12-09 12:02:40
355.6,355.217,356.85,257.638,0.401,2.49,2025-12-09 12:02:40
337.7,354.558,356.85,259.433,1.795,0.56,2025-12-09 12:02:42
343.7,349.129,356.85,260.717,1.284,0.78,2025-12-09 12:02:43
337.7,345.415,356.85,261.062,0.345,2.9,2025-12-09 12:02:44
339.9,342.657,356.85,261.462,0.4,2.5,2025-12-09 12:02:44
341.5,341.279,341.5,261.863,0.401,2.49,2025-12-09 12:02:44
341.8,341.389,341.5,262.264,0.401,2.49,2025-12-09 12:02:45
337.3,340.645,341.5,262.66,0.396,2.53,2025-12-09 12:02:45
337.2,340.272,341.5,263.774,1.114,0.9,2025-12-09 12:02:46
337.4,338.836,339.45,264.164,0.39,2.56,2025-12-09 12:02:47
336.7,338.068,338.375,264.56,0.396,2.53,2025-12-09 12:02:47
338.1,337.684,337.837,264.954,0.394,2.54,2025-12-09 12:02:47
336.9,337.442,337.519,265.353,0.399,2.51,2025-12-09 12:02:48
337.3,337.371,337.409,265.746,0.393,2.54,2025-12-09 12:02:48
336.8,337.135,337.155,266.144,0.398,2.51,2025-12-09 12:02:49
336.5,337.018,337.027,266.538,0.394,2.54,2025-12-09 12:02:49
335.1,336.909,336.914,266.935,0.397,2.52,2025-12-09 12:02:50
338.3,336.854,336.857,267.327,0.392,2.55,2025-12-09 12:02:50
335.7,336.677,336.678,268.668,1.341,0.75,2025-12-09 12:02:51
337.3,336.589,336.589,269.017,0.349,2.87,2025-12-09 12:02:52
335.5,336.144,336.145,269.416,0.399,2.51,2025-12-09 12:02:52
337.4,336.722,336.722,269.819,0.403,2.48,2025-12-09 12:02:52
335.5,336.211,336.211,270.216,0.397,2.52,2025-12-09 12:02:53
336.5,336.356,336.356,271.064,0.848,1.18,2025-12-09 12:02:54
337.1,336.428,336.428,271.722,0.658,1.52,2025-12-09 12:02:54
336.6,336.514,336.514,272.374,0.652,1.53,2025-12-09 12:02:55
336.3,336.507,336.507,273.018,0.644,1.55,2025-12-09 12:02:56
336.9,336.553,336.553,274.358,1.34,0.75,2025-12-09 12:02:57
337.2,336.727,336.727,274.723,0.365,2.74,2025-12-09 12:02:57
355.7,336.813,336.727,275.121,0.398,2.51,2025-12-09 12:02:58
354.2,337.007,336.727,275.521,0.4,2.5,2025-12-09 12:02:58
357.6,345.603,336.727,276.377,0.856,1.17,2025-12-09 12:02:59
357.0,350.652,336.727,277.038,0.661,1.51,2025-12-09 12:03:00
357.0,353.826,357.0,277.436,0.398,2.51,2025-12-09 12:03:00
356.9,355.413,357.0,277.827,0.391,2.56,2025-12-09 12:03:00
357.0,356.206,357.0,278.226,0.399,2.51,2025-12-09 12:03:01
358.0,356.603,357.0,279.566,1.34,0.75,2025-12-09 12:03:02
335.2,356.802,357.0,279.959,0.393,2.54,2025-12-09 12:03:03
335.1,356.851,357.0,280.356,0.397,2.51,2025-12-09 12:03:03
334.9,346.025,357.0,280.755,0.399,2.51,2025-12-09 12:03:03
335.0,340.563,357.0,281.152,0.397,2.52,2025-12-09 12:03:04
337.1,337.831,337.1,281.551,0.399,2.51,2025-12-09 12:03:04
334.8,336.416,337.1,282.404,0.853,1.17,2025-12-09 12:03:05
334.7,335.658,337.1,282.797,0.393,2.54,2025-12-09 12:03:05
334.9,335.279,336.0,283.191,0.394,2.54,2025-12-09 12:03:06
335.0,335.089,335.45,283.589,0.398,2.51,2025-12-09 12:03:06
336.6,334.995,335.175,283.985,0.396,2.53,2025-12-09 12:03:07
336.8,334.997,335.087,284.378,0.393,2.54,2025-12-09 12:03:07
337.4,335.799,335.844,284.779,0.401,2.49,2025-12-09 12:03:07
337.5,336.299,336.322,285.179,0.4,2.5,2025-12-09 12:03:08
336.2,336.55,336.561,285.576,0.397,2.52,2025-12-09 12:03:08
337.7,336.975,336.98,286.917,1.341,0.75,2025-12-09 12:03:09
336.0,337.187,337.19,287.261,0.344,2.91,2025-12-09 12:03:10
335.0,336.694,336.695,287.656,0.395,2.53,2025-12-09 12:03:10
335.7,336.347,336.348,288.056,0.4,2.5,2025-12-09 12:03:11
335.3,336.023,336.024,288.458,0.402,2.49,2025-12-09 12:03:11
335.0,335.662,335.662,288.851,0.393,2.54,2025-12-09 12:03:11
357.1,335.481,335.662,289.965,1.114,0.9,2025-12-09 12:03:13
357.1,335.59,335.662,290.346,0.381,2.62,2025-12-09 12:03:13
356.0,345.795,335.662,290.747,0.401,2.49,2025-12-09 12:03:13
342.0,350.898,335.481,291.151,0.404,2.48,2025-12-09 12:03:14
342.0,353.449,335.59,291.547,0.396,2.53,2025-12-09 12:03:14
341.9,347.724,338.745,291.945,0.398,2.51,2025-12-09 12:03:15
342.1,344.862,340.373,292.344,0.399,2.51,2025-12-09 12:03:15
342.3,343.431,341.186,292.74,0.396,2.53,2025-12-09 12:03:15
342.3,342.766,341.643,293.134,0.394,2.54,2025-12-09 12:03:16
342.2,342.483,341.922,293.527,0.393,2.54,2025-12-09 12:03:16
342.2,342.341,342.061,293.926,0.399,2.51,2025-12-09 12:03:16
341.9,342.271,342.13,294.769,0.843,1.19,2025-12-09 12:03:17
342.1,342.235,342.165,295.169,0.4,2.5,2025-12-09 12:03:18
336.3,342.168,342.133,295.838,0.669,1.49,2025-12-09 12:03:18
337.8,342.034,342.016,296.234,0.396,2.53,2025-12-09 12:03:19
341.9,341.967,341.958,296.633,0.399,2.51,2025-12-09 12:03:19
341.9,341.933,341.929,297.034,0.401,2.49,2025-12-09 12:03:20
341.6,341.767,341.765,297.433,0.399,2.51,2025-12-09 12:03:20
