alpha,beta,gate_m,max_reject,baseline_mean_rise_s,baseline_mean_settle_s,ab_mean_rise_s,ab_mean_settle_s,ab_mean_overshoot_m,sensor_reject_ratio,ab_tracker_gate_reject_ratio,score_switch
0.1,0.0,10.0,7,0.2362950839380387,35.364888888888885,0.21078056419534583,36.15188888888889,0.418727777777778,0.1882640586797066,0.33985330073349634,29.89574383232901
0.1,0.0,12.0,7,0.2362950839380387,35.364888888888885,0.21078056419534583,36.15188888888889,0.418727777777778,0.1882640586797066,0.33985330073349634,29.89574383232901
0.1,0.0,15.0,7,0.2362950839380387,35.364888888888885,0.21078056419534583,36.15188888888889,0.418727777777778,0.1882640586797066,0.33985330073349634,29.89574383232901
0.1,0.0,10.0,7,0.2362950839380387,35.364888888888885,0.21078056419534583,36.15188888888889,0.418727777777778,0.1882640586797066,0.33985330073349634,29.89574383232901
0.1,0.0,12.0,7,0.2362950839380387,35.364888888888885,0.21078056419534583,36.15188888888889,0.418727777777778,0.1882640586797066,0.33985330073349634,29.89574383232901
0.1,0.0,15.0,7,0.2362950839380387,35.364888888888885,0.21078056419534583,36.15188888888889,0.418727777777778,0.1882640586797066,0.33985330073349634,29.89574383232901
0.1,0.0,10.0,7,0.2362950839380387,35.364888888888885,0.21078056419534583,36.15188888888889,0.418727777777778,0.1882640586797066,0.33985330073349634,29.89574383232901
0.1,0.0,12.0,7,0.2362950839380387,35.364888888888885,0.21078056419534583,36.15188888888889,0.418727777777778,0.1882640586797066,0.33985330073349634,29.89574383232901
0.1,0.0,15.0,7,0.2362950839380387,35.364888888888885,0.21078056419534583,36.15188888888889,0.418727777777778,0.1882640586797066,0.33985330073349634,29.89574383232901
0.15,0.0,10.0,7,0.2362950839380387,35.364888888888885,0.21075407302336188,36.15188888888889,0.42797708333333345,0.1882640586797066,0.33985330073349634,29.89756720226814
0.15,0.0,12.0,7,0.2362950839380387,35.364888888888885,0.21075407302336188,36.15188888888889,0.42797708333333345,0.1882640586797066,0.33985330073349634,29.89756720226814
0.15,0.0,15.0,7,0.2362950839380387,35.364888888888885,0.21075407302336188,36.15188888888889,0.42797708333333345,0.1882640586797066,0.33985330073349634,29.89756720226814
0.15,0.0,10.0,7,0.2362950839380387,35.364888888888885,0.21075407302336188,36.15188888888889,0.42797708333333345,0.1882640586797066,0.33985330073349634,29.89756720226814
0.15,0.0,12.0,7,0.2362950839380387,35.364888888888885,0.21075407302336188,36.15188888888889,0.42797708333333345,0.1882640586797066,0.33985330073349634,29.89756720226814
0.15,0.0,15.0,7,0.2362950839380387,35.364888888888885,0.21075407302336188,36.15188888888889,0.42797708333333345,0.1882640586797066,0.33985330073349634,29.89756720226814
0.1,0.0,8.0,7,0.2362950839380387,35.364888888888885,0.21066255953738708,36.15188888888889,0.418727777777778,0.1882640586797066,0.3471882640586797,29.910295754321417
